# wavelength_um half_bin_width_um noisy_transit_depth sigma_inst
3.7056329250e+00 5.4628239013e-03 4.8139737919e-03 5.2676059568e-05
3.7165420055e+00 5.4463990964e-03 4.9707009457e-03 5.2865860198e-05
3.7274188995e+00 5.4302150384e-03 4.9959910102e-03 5.3201740229e-05
3.7382628918e+00 5.4140561260e-03 4.8894518986e-03 5.3550731536e-05
3.7490749359e+00 5.3980629891e-03 4.9868291244e-03 5.4141190049e-05
3.7598559856e+00 5.3822319023e-03 4.9331039190e-03 5.4908901802e-05
3.7706038952e+00 5.3664417937e-03 4.8812949099e-03 5.5290020100e-05
3.7813210487e+00 5.3508961573e-03 4.9057980068e-03 5.4985728639e-05
3.7920079231e+00 5.3353728727e-03 4.9537150189e-03 5.4609910876e-05
3.8026630878e+00 5.3199739195e-03 4.9824737944e-03 5.5012609664e-05
3.8132879734e+00 5.3047481924e-03 5.0359740853e-03 5.5453838286e-05
3.8238821030e+00 5.2895657718e-03 5.0127040595e-03 5.5342199630e-05
3.8344459534e+00 5.2746310830e-03 4.8541901633e-03 5.5703800172e-05
3.8449800014e+00 5.2598011680e-03 4.8608351499e-03 5.6672120991e-05
3.8554849625e+00 5.2450001240e-03 4.9135880545e-03 5.7190918596e-05
3.8659598827e+00 5.2302461118e-03 5.0477939658e-03 5.7046810980e-05
3.8764059544e+00 5.2155121230e-03 5.0113270991e-03 5.6409018725e-05
3.8868219852e+00 5.2010519430e-03 4.9325781874e-03 5.5778338719e-05
3.8972098827e+00 5.1867188886e-03 4.9574421719e-03 5.5805601733e-05
3.9075689316e+00 5.1724528894e-03 4.9208928831e-03 5.6683631556e-05
3.9179000854e+00 5.1584341563e-03 4.9261432141e-03 5.7623688917e-05
3.9282031059e+00 5.1445201971e-03 4.9615087919e-03 5.7480789110e-05
3.9384779930e+00 5.1306411624e-03 5.0484808162e-03 5.7208490034e-05
3.9487259388e+00 5.1166508347e-03 4.9851178192e-03 5.7925379224e-05
3.9589450359e+00 5.1027298905e-03 4.8958291300e-03 5.9116209741e-05
3.9691359997e+00 5.0891498104e-03 4.8215328716e-03 5.9592628531e-05
3.9793009758e+00 5.0756861456e-03 4.8604360782e-03 5.9289559431e-05
3.9894390106e+00 5.0622788258e-03 4.9139847979e-03 5.9042678913e-05
3.9995501041e+00 5.0490489230e-03 4.9001048319e-03 5.9412690462e-05
4.0096349716e+00 5.0358511508e-03 4.8616682179e-03 6.0215490521e-05
4.0196938515e+00 5.0224559382e-03 4.9699549563e-03 6.0569669586e-05
4.0297250748e+00 5.0092139281e-03 4.9404138699e-03 6.0179569118e-05
4.0397310257e+00 4.9963998608e-03 4.8781260848e-03 6.0556860262e-05
4.0497112274e+00 4.9836537801e-03 4.8406878486e-03 6.2081118813e-05
4.0596652031e+00 4.9710217863e-03 4.9923867919e-03 6.2824423367e-05
4.0695948601e+00 4.9581918865e-03 5.0898399204e-03 6.2610910391e-05
4.0794978142e+00 4.9452818930e-03 4.9348571338e-03 6.3554056396e-05
4.0893759727e+00 4.9329241738e-03 4.7672470100e-03 6.5897307650e-05
4.0992298126e+00 4.9206521362e-03 4.9514761195e-03 6.7210850830e-05
4.1090588570e+00 4.9083800986e-03 4.9166870303e-03 6.6204207542e-05
4.1188631058e+00 4.8959362321e-03 4.9350708723e-03 6.4700419898e-05
4.1286420822e+00 4.8835491762e-03 4.8951171339e-03 6.4726547862e-05
4.1383981705e+00 4.8716207966e-03 4.8296819441e-03 6.5901891503e-05
4.1481289864e+00 4.8597031273e-03 4.9747368321e-03 6.5997199272e-05
4.1578359604e+00 4.8476839438e-03 4.8350081779e-03 6.6110267653e-05
4.1675200462e+00 4.8356722109e-03 4.8967408948e-03 6.6737033194e-05
4.1771788597e+00 4.8239701428e-03 5.0940038636e-03 6.6820219217e-05
4.1868162155e+00 4.8125269823e-03 5.0537800416e-03 6.6235363192e-05
4.1964287758e+00 4.8007271253e-03 4.9462579191e-03 6.6512780904e-05
